Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	a	b	c	d	e	f	g	Total
1		68						68
2	17							17
3		14						14
4				7				7
5			6					6
6		4						4
7			4					4
8					3			3
9		3						3
10						3		3
11					3			3
12					2			2
13		2						2
14		2						2
15		2						2
16		2						2
17			2					2
18			3					3
19			1					1
20						2		2
21	2							2
22		1						1
23		1						1
24	1							1
25		1						1
26		1						1
27		1						1
28		1						1
29		1						1
30		1						1
31		1						1
32		1						1
33		1						1
34		1						1
35		1						1
36		1						1
37							1	1
38			1					1
39			1					1
40			1					1
41			1					1
42			1					1
43			1					1
44			1					1
45	1							1
46	1							1
47				1				1
48				1				1
49						1		1
50						1		1
51						1		1
52	1							1
53	1							1
54	1							1
55	1							1
56					1			1
57					1			1
Total	26	111	23	9	10	8	1	188

