Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	H 10a, 10b	H 13	H 34	H 3a, 3b, 3c	H 4a, 4c	H 5a, 5c	H 6	H 7	H 8a, 8b	H 9	H34	NT	No value	UN	chinensis CT-43	galleriae	kurstaki	morrisoni	not known	thuringiensis	unknown	1	2	3a, 3b, 3c	3a, 3d	3a,3c	4a, 4b	4a, 4c	5a, 5b	5a, 5c	6	7	8a 8b	8a, 8b	8a, 8c	8b, 8d	9	10a, 10b	10a, 10c	11a, 11b	11a, 11c	12	13	14	15	16	17	18a, 18b	18a, 18c	18a,18b	19	20a, 20b	20a, 20c	21	22	24a, 24b	24a, 24c	26	27	28a, 28b	29	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	65	67	Total
No value													400								2																																																																											402
1													550																																																																																			550
2													21																																																																																			21
3													95																																																																																			95
4													9																																																																																			9
5													2																																																																																			2
6													2																																																																																			2
7													1																																																																																			1
8													110				2					1		14			1				3																																																																	131
9													1																																																																																			1
10													21	1	1					1		13		2																																																																								39
11													4																																																																																			4
12													12													1	4																		1																																									1										19
13					5								5															5																																																																				15
14							2																																																																																									2
15								3					24	1		1																4																																																																33
16						1			1				19																	1														4																							1																													27
17		2											1																																																																																			3
18		1											15																														1																																																					17
19													4																																																																																			4
20													1																																																																																			1
21													1																																																																																			1
22										4			2																								6																																																											12
23									5				41					1																3																																																														50
24													22																																																																																			22
25													6	1															10																																																																			17
26													104																																																																																			104
27													1																																																																																			1
28													1																																																																																			1
29													6																																																																																			6
30													1																																																																																			1
31													1																																																																																			1
32													26																																																																																			26
33													10																																																																											1								11
34													4																																																																																			4
35			1										1																																																																																			2
36				1																																																																																												1
37				1																																																																																												1
38													4																																																																																			4
39													3																																																																																			3
40													2																																																																																			2
41													4																																																																																			4
42													1																																																																																			1
43													2																																																																																			2
44													2																																																																																			2
45													3																																																																																			3
46													3														1																																																																					4
47													2																								1																																																											3
48																						2																																																																										2
49																											1																																																																					1
50						1																								1																																																																		2
51						1																								1																																																																		2
52						1																																																																																										1
53								1																								1																																																																2
54								1																								1																																																																2
55	1																																																																																															1
56	4												31																									3																																																										38
57	1												1																									1																																																										3
58																																													1																																																			1
59																																																1		1																																														2
60																																																1		1																																														2
61																													2																																																																			2
62													1																																																																																			1
63																																	1	1																																																														2
64													1																				1	1																																																														3
65																																												1																																																				1
66													2																																																																																			2
67																																	1																																																															1
68																																					2																																																											2
69																																	1																																																															1
70																																	1																																																															1
71																																					1																																																											1
72													6																																																																																			6
73													7																																																																																			7
74													3																																																																																			3
75													3										1																																																																									4
76													2																																																																																			2
77													1																																																																																			1
78													8																																																																																			8
79													1																																																																																			1
