Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	A	B	other	Total
1	38			38
2	30			30
3	3			3
4	13			13
5	3			3
6	2			2
7	23			23
8	2			2
9	4			4
10	3			3
11	2			2
12	1			1
13	1	1		2
14	1	4		5
15	2			2
16	2			2
17	1		1	2
18	3	1		4
19	2	1		3
20	1			1
21	1			1
22	5		1	6
23	1			1
24	1			1
25	3			3
26	8			8
27	1			1
28	1			1
29		2		2
30		9		9
31		1		1
32		1		1
33		1		1
34		3		3
35		1		1
36		1		1
37	1	1		2
38		1		1
39	1			1
40	1			1
41	1			1
42	1			1
43	1			1
44	1			1
45	1			1
46	1			1
47	1			1
48	1			1
49	1			1
50		1		1
51		2		2
52		1		1
53		2		2
54		2	2	4
55		1		1
56		1		1
57		1		1
58		1		1
59		2		2
60		1		1
61	2			2
62			1	1
63			3	3
64			1	1
65			1	1
66			2	2
67			3	3
68			3	3
69			1	1
70			4	4
71			1	1
72			6	6
73			2	2
74			2	2
75			3	3
76			1	1
77			1	1
78			1	1
79			1	1
80			2	2
81			1	1
82	1			1
83			1	1
84	2			2
85	1			1
86		1		1
90		1		1
91	2			2
92		1		1
93		1		1
94		1		1
95		1		1
96		1		1
97	2			2
98		1		1
121			1	1
133		1		1
Total	180	52	46	278

