Breakdown of ST (MLST (Chlamydiales)) by serovar:
Selected options: Display values only. 

ST (MLST (Chlamydiales))	serovar
	A	B	B/E	Ba	C	D	D(s)	Da	E	F	G	H	I	IA	Ia	J	Ja	K	L1	L1/L2	L2	L2a	L2b	L2bl	L2c	L3	No value	Total
No value	6	11		1	11	33		1	67	26	32	11	11		14	12	4	15	1		4	1	2	1		1	3139	3404
1																											1	1
2																											1	1
3	6	1		1																							33	41
4									6																		131	137
5													1														1	2
6											1							1									34	36
7																											1	1
8																											3	3
9											3			1	3												66	73
10												1															1	2
11																			1								4	5
12									1																		25	26
13						5																					60	65
14																											1	1
15																											1	1
16																											6	6
17																											15	15
18																											1	1
19																											42	42
20																											1	1
22																											4	4
23																											42	42
24																											77	77
25																											7	7
26																											3	3
27			2																								6	8
28																											21	21
29																											4	4
30																											3	3
31																											1	1
32																											1	1
34																											1	1
35		1																									7	8
36																											1	1
38						1	1			3																	45	50
39																											1	1
42																											8	8
43																											3	3
44																			1	2	3		14		1	1	45	67
45		1																									4	5
47																											4	4
48																											9	9
49																											1	1
50																											3	3
51																											1	1
52																											5	5
53																											1	1
54																											1	1
55																											6	6
56																											2	2
57																											2	2
58																											1	1
59																											2	2
60																											1	1
61																											1	1
62																											2	2
63																											6	6
64																											1	1
65																											1	1
66																											1	1
67																											3	3
68																											3	3
69																											33	33
70																											2	2
71																											1	1
72																											1	1
73																											34	34
74																											6	6
75																											1	1
76																											1	1
78																											5	5
79																											2	2
80																											3	3
81																											1	1
82																											1	1
83																											1	1
84																											1	1
85																											1	1
86																											6	6
88																											3	3
89																											1	1
90																											1	1
91																											3	3
92																											1	1
93																											1	1
94									1																		2	3
95											1																7	8
96																											1	1
97																											1	1
98																											1	1
99																											1	1
100																											4	4
101																											4	4
102																											1	1
103																											1	1
104																											2	2
105																											2	2
106																											1	1
107																											1	1
108																											3	3
109																											1	1
110																											2	2
111																											1	1
112																											4	4
113																											1	1
114																											1	1
115																											1	1
116																											1	1
117																											5	5
118																											2	2
119																											1	1
120																											1	1
121																											1	1
122																											1	1
123																											1	1
124																											1	1
125																											1	1
126																											1	1
127																											1	1
128																											1	1
129																											1	1
130																											1	1
148																											8	8
149																											1	1
150																											4	4
151																											1	1
152																											1	1
153																											1	1
154																											1	1
155																											4	4
156																											1	1
157																											2	2
158																											1	1
159																											1	1
160																											1	1
161																											3	3
162																											1	1
163																											3	3
164																											1	1
165																											1	1
166																											2	2
167																											2	2
168																											3	3
169																											1	1
170																											1	1
171																											1	1
172																											2	2
173																											1	1
174																											1	1
175																											1	1
176																											1	1
177																											1	1
178																											1	1
179																											1	1
180																											1	1
181																											1	1
182																											1	1
183																											1	1
184																											1	1
185																											1	1
186																											1	1
187																											1	1
188																											1	1
189																											1	1
190																											1	1
191																											1	1
192																											1	1
193																											1	1
194																											1	1
195																											1	1
196																											1	1
197																											1	1
198																											1	1
199																											1	1
200																											1	1
201																											1	1
202																											4	4
203																											2	2
204																											1	1
205																											1	1
206																											1	1
207																											1	1
208																											1	1
209																											1	1
210																											1	1
211																											1	1
212																											2	2
213																											1	1
214																											1	1
215																											2	2
216																											1	1
217																											2	2
218																											1	1
219																											1	1
220																											1	1
221																											1	1
223																											1	1
224																											1	1
225																											1	1
226																											1	1
227																											1	1
228																											1	1
229																											1	1
230																											1	1
231																											1	1
232																											1	1
233																											1	1
234																											1	1
236																											1	1
237																											1	1
238																											1	1
239																											1	1
240																											2	2
241																											1	1
242																											1	1
243																											1	1
244																											1	1
245																											1	1
246																											1	1
247																											1	1
248																											1	1
249																											1	1
250																											1	1
251																											1	1
252																											1	1
254																											1	1
255																											1	1
256																											1	1
257																											2	2
258																											1	1
259																											1	1
260																											1	1
261																											1	1
262																											1	1
263																											3	3
264																											2	2
265																											1	1
266																											1	1
267																											1	1
268																											1	1
269																											1	1
270																											1	1
271																											2	2
272																											1	1
273																											1	1
274																											1	1
275																											1	1
276																											1	1
277																											1	1
278																											1	1
279																											1	1
280																											1	1
281																											6	6
282																											1	1
284																											1	1
285																											1	1
288																											1	1
289																											1	1
290																											1	1
291																											1	1
292																											1	1
293																											1	1
294																											1	1
296																											1	1
297																											1	1
298																											1	1
299																											1	1
300																											1	1
301																											14	14
302																											4	4
303																											1	1
304																											1	1
305																											1	1
306																											1	1
307																											1	1
308																											1	1
309																											1	1
310																											1	1
311																											4	4
Total	12	14	2	2	11	39	1	1	75	29	37	12	12	1	17	12	4	16	3	2	7	1	16	1	1	2	4298	4628

