Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	Ccond  [O1]	Cdub 01	Cdub O1	Cdub O1a	Cdub O1b	Cdub O2	Cdub O4	Cmal O1	Cmal O2	Cmal O3	CmalO1CsakO4	CmalO2	Cmuyt O1	Cmuyt O2	Cmuyt O3	Csak O1	Csak O1'	Csak O2	Csak O2'	Csak O3	Csak O4	Csak O7	Csak O:1	CsakO1	CsakO2	CsakO3	CsakO7	Ctur O1	Ctur O2	Ctur O3	Ctur O4	Ctur O:1	Cuni O1	No value	Not found	O1	[Csak O5]	[Csak O6]	[Ctur O2]	Total
No value						2	1	2	1							15		19		7	7	3												413						470
1																135	3	2		3	16	1		1										167		6		1		335
2																																		1						1
3																		11							1									27						39
4																1		185	6	22	8	1			3									192	2		1			421
5																															2			4						6
6								1			3																							1						5
7								2	51			3																						38	3					97
8																32		2		4	2			1										36				1		78
9																		1																						1
10									2																									3						5
11								2		1																									1					4
12																		1		2	20					1								15	1					40
13																		38	7		4													30						79
14																	2																	2						4
15																		2																						2
16																1																		1						2
17																		14							2									28						44
18																																		2						2
19																												2				1		3						6
20																		1		2														5						8
21																13					1													31						45
22																		9																6						15
23																		7																11						18
24																																		5						5
25									1																									2						3
26																																		1						1
27																																		1						1
28																																		2						2
29								1																										1						2
30																																			1					1
31																		14																14						28
32																														1				2						3
33																				1														4						5
35																														2				1						3
37																																		2						2
38																																		1						1
39																																		1						1
40																1				1	16													38						56
41																																		3						3
42																		1																6			1			8
43																																		1						1
44																																		1						1
45																																		1						1
46																				3														3						6
47																																		1						1
48																																		1						1
49																																		1						1
50																3		2																6						11
51																																		1						1
52																																		1						1
53																																		1						1
54																																	3	5						8
55																																		3						3
56																																		1						1
57																1																		1						2
58																		1						2										4						7
59																																	1							1
60								8																										10						18
61																																		1						1
62																																		1	2					3
63																																		1						1
64																		38							1									54						93
65																																		1						1
66																																		1						1
67																																		1						1
68																		1																1						2
69								1																										2						3
70			1																															2						3
72																														2				2						4
73																				1		2					1							10	1					15
74			1																															3						4
76						1																																		1
77		1	2																																					3
78						1																																		1
79				1																														1						2
80						5																												1						6
81														2																				11						13
82																																		1						1
83																						8												35		1				44
84									2																									1						3
85																																		1						1
86																			1																					1
87																																		1						1
88																																		1						1
89																																		1						1
90																																		1						1
91																																		1						1
92																																		1						1
93																																		7						7
95			1																																					1
96																		1																3						4
97																																		1						1
98	1																																	3						4
99																1																		7						8
100																1																		2						3
101																																		1						1
102																																		1						1
103																		1																2						3
104																																		1						1
105																																		1						1
106			1		1																													2						4
107																		1																						1
108																1		1			1																			3
109																		1																						1
110																		1																						1
111																1																								1
112																																		1						1
113																								1										1						2
114																																		2						2
115																																		1						1
116																																		1						1
117																																		3						3
118																																		1						1
119																																		1						1
120																																		1						1
121																																		1						1
122																																		1						1
123																																		1						1
124																																		1						1
125																1	1																	3						5
126																																		1						1
127																														1				1						2
128																																		1						1
129									4																									5						9
130																																		1						1
131																																		1						1
132																																		1						1
133																																		1						1
134																																		1						1
135																																		1						1
136																1		4																11						16
137																																		1						1
138									2																									2						4
139									1																									2						3
140																																		1						1
141																																		1						1
142																																		1						1
143																				2						1								3						6
144																																		1						1
145																																		2						2
146																																		2						2
147																																		1						1
148																12																		16						28
150																																		1						1
151																																		1						1
152																																		1						1
153																																		1						1
154																																		1						1
155																																		15						15
156																																		3						3
157																		1																1						2
158																3																		3						6
159																																		1						1
160																																		3						3
161																																		1						1
162																																		1						1
163						1																												2						3
164																																		1						1
165																																		1						1
166																																		1						1
167						1																												4						5
168																																		1						1
169																																		1						1
170																																		1						1
171																														1				2						3
172																																		1						1
173																																		1						1
174																																		1						1
175																																		1	1					2
176			1																															1						2
177																																		1						1
178																																		1						1
179																																		1						1
180																																		1						1
181																																		1						1
182																																		1						1
183																																		1						1
184																											1							7						8
185																																		1						1
186																																		1	1					2
187																																		1						1
188																1																		4						5
189																																		1						1
190																																		1						1
191																																		1						1
192																																		1						1
193																																		1						1
194																																		1						1
195																																		1						1
196																																		1						1
197																																		1						1
198																					3													3						6
199																																		2						2
200																																		1						1
201									5			2																						9						16
202																																		1						1
203																																		1						1
204																																		1						1
205																																		1						1
206																																		1						1
207																																		1						1
208																						1												1						2
209																																		3						3
211								2																										1						3
212																																		1						1
213						1																												2						3
214																																		1						1
215																																		2						2
216																																		6						6
217																																		6						6
218																		1																						1
219																2								1										4						7
220																																		1						1
221																																		2						2
222																																		2						2
223																																		1						1
224																						2												2						4
225																																		1						1
226																1																		6						7
227																																		2						2
228																																		2						2
229																																		2						2
230																																		2						2
231																					1																			1
232																																		3						3
233																		1																4	1					6
234																																		1						1
235																																		1						1
236																																		1						1
237																																		1						1
238																																		1						1
239																																		1						1
240																																		1						1
241																																		1						1
242																																		1						1
243																																		1						1
245																2																								2
247																																		1						1
248																																		1						1
249																				1														2						3
250																																		1						1
251																												2						1						3
252																												1						2						3
253																																		1						1
