Breakdown of ST (MLST (scheme 1)) by serovar:
Selected options: Display values only. 

ST (MLST (scheme 1))	serovar
	Abramis	Agogo	Alice	Arenal	Argentinensis	Atchafalaya	Australis	Autumnalis	Babudieri	Bafani	Bakeri	Balboa	Balcanica	Ballum	Bananal	Bangkinang	Bangkok	Bataviae	Benjamini	Beye	Biggis	Bim	Bindjei	Birkini	Bogvere	Borincana	Brasiliensis	Bratislava	Broomi	Bulgarica	Butembo	Camlo	Canalzonae	Canicola	Carimagua	Carlos	Castellonis	Celledoni	Ceylonica	Claytoni	Copenhageni	Coxi	Cristobali	Cynopteri	Dehong	Djasiman	Djatzi	Erinaceiauriti	Evansi	Fluminense	Fortbragg	Fugis	Galtoni	Gem	Georgia	Geyaweera	Grippotyphosa	Grippotyphosa type Moskva	Guaratuba	Guaricura	Gurungi	Haemolytica	Hardjo	Hardjo type Bovis	Hardjo type Prajitno	Hawain	Hebdomadis	Hekou	Holland	Hongchon	Honghe	Hualin	Huallaga	Hurstbridge	Hurstbridge type HB6	Icterohaemorrhagiae	Istrica	Jalna	Javanica	Jonsis	Jules	Kabura	Kalimantani	Kambale	Kamituga	Kennewicki	Kenya	Khorat	Kisuba	Kobbe	Kremastos	Kunming	Kuwait	Kwale	Lai	Lai type Langkawi	Lambwe	Langati	Lichuan	Linhai	Lora	Losbanos	Louisiana	Lyme	Malaysia	Mangus	Manhao 3	Manilae	Mankarso	Manzhuang	Medanensis	Mengdeng	Mengla	Menglian	Mengma	Mengrun	Mini	Mooris	Mozdok	Muelleri	Muenchen	Mujunkumi	Mwogolo	Naam	Nanding	Nanla	Nanxi	Ndahambukuje	Ndambari	Nicaragua	No value	Nyanza	Orleans	Paidjan	Panama	Patoc	Perameles	Peru	Pinchang	Poi	Polonica	Pomona	Portblairi	Portlandvere	Princestown	Proechimys	Pyrogenes	Ramisi	Ranarum	Ratnapura	Ricardi	Robinsoni	Roumanica	Rushan	Saopaulo	Sarmin	Saxkoebing	Schueffneri	Sejroe	Sentot	Shermani	Smithi	Sokoine	Sorexjalna	Sumneri	Szwajizak	Tabaquite	Tarassovi	Tonkini	Topaz	Tropica	Tsaratsovo	Tunis	Unipertama	Valbuzzi	Vanderhoedeni	Varela	Varillal	Vughia	Weaveri	Weerasinghe	Wolffi	Yunnan	Zanoni	Zhenkang	other	Total
No value		1		1			5	1					1	1	1			1									1			1				7						1	14		1		1	1								1	1		3	1	1				1	1	1		1		1	1		1		1	1	1	1		1				1			1	8	1				2	1		2	1					3			2	1	1	1										2		1		1		1								277		1			2	1	1	1			4	1	1	1		2	1	1	7				1	1		2		1				2			1	1								8		1	2		1						19	429
1																																																																																															4																																				8																																																								12
2																																																																																																																																						1																																																					1
3																																																																																																																																																														1																													1
4																																																																																																																										1																																																																	1
5																																																																																																																						1																																																																					1
6																																																																																																																																			1																													1																											2
7																																																																																																																																																																					1																						1
8																							1																																																																																																																																																																				1
9																																																																																																																														1																																																													1
10																																																																																																																																			1																																																								1
11																																														1																																																																																																																																													1
12																	1																																																																																																																																																																										1
13																																																																																																																																																			1																																								1
14																					1																																																																																																																																																																						1
15	1																																																																																																																																		1																																																								2
16																			1																																																																																																																																																																								1
17																																									89																																			23																																																							21																																																								133
18																																																									1																																																																										1																																																								2
19																																																																																																													1																						1																																																								2
20																																																														1			2																																																																		4																																																								7
21																																																																																																																																																																		1																									1
22								1																																																																																																																											1																																																								2
23																																																																																																																												1							1																																																								2
24																												2																																																		3																							1																				1										5																																																								12
25																																																																																																					1																																																																																						1
26																																																																																																																																			2																																																								2
27								1																																																																																																																											1																																																								2
28																								1																																																																																																																																																																			1
29																1																																																																																																																			1																																																								2
30																																																																																																																																			2																					1																																			3
31																																																																																																																																																																																								2			2
32																																																	1																																																																																																																																										1
33																																																																																																																																			2																																																								2
34								52																																																																																																																											74																																																								126
35																																																																																																															1																				1																																																								2
36																																																																																																																																			5																																																								5
37																																		15							1																																																																																										18																1																																								35
38																																																																																																																																														1																																													1
39																																																																																																																																			1																																																								1
40																																																																																																																																			1																																																								1
41								1																																																																																																																																																																																			1
42																		2																																																																																																																	1																																																								3
43																																																																																																																																			1																																																		1						2
44																																																								1																																																																											1																																																								2
45																																																																																																																																			1																																																								1
46																		2																																																																																													4																				6																																																								12
47																																																																																																																																			2																																																								2
48																																1																																																																																																																																																											1
49																																																																																																																																			3																12																																								15
50																		5																1																																																																				1																													1																																																								8
51							1																																																																																																																												9																																																								10
52																																																																																											1																																																																																																1
53																																																																		1																																																																																																																									1
54																																																																																1																																																																																																											1
55																																																													1																																																																																																																														1
56																																																																																																																																																							1																																				1
57																																																																																																												10																							2																																																								12
