Breakdown of ST (MLST (scheme 2)) by serovar:
Selected options: Display values only. 

ST (MLST (scheme 2))	serovar
	Abramis	Agogo	Alice	Arenal	Argentinensis	Atchafalaya	Australis	Autumnalis	Babudieri	Bafani	Bakeri	Balboa	Balcanica	Ballum	Bananal	Bangkinang	Bangkok	Bataviae	Benjamini	Beye	Biggis	Bim	Bindjei	Birkini	Bogvere	Borincana	Brasiliensis	Bratislava	Broomi	Bulgarica	Butembo	Camlo	Canalzonae	Canicola	Carimagua	Carlos	Castellonis	Celledoni	Ceylonica	Claytoni	Copenhageni	Coxi	Cristobali	Cynopteri	Dehong	Djasiman	Djatzi	Erinaceiauriti	Evansi	Fluminense	Fortbragg	Fugis	Galtoni	Gem	Georgia	Geyaweera	Grippotyphosa	Grippotyphosa type Moskva	Guaratuba	Guaricura	Gurungi	Haemolytica	Hardjo	Hardjo type Bovis	Hardjo type Prajitno	Hawain	Hebdomadis	Hekou	Holland	Hongchon	Honghe	Hualin	Huallaga	Hurstbridge	Hurstbridge type HB6	Icterohaemorrhagiae	Istrica	Jalna	Javanica	Jonsis	Jules	Kabura	Kalimantani	Kambale	Kamituga	Kennewicki	Kenya	Khorat	Kisuba	Kobbe	Kremastos	Kunming	Kuwait	Kwale	Lai	Lai type Langkawi	Lambwe	Langati	Lichuan	Linhai	Lora	Losbanos	Louisiana	Lyme	Malaysia	Mangus	Manhao 3	Manilae	Mankarso	Manzhuang	Medanensis	Mengdeng	Mengla	Menglian	Mengma	Mengrun	Mini	Mooris	Mozdok	Muelleri	Muenchen	Mujunkumi	Mwogolo	Naam	Nanding	Nanla	Nanxi	Ndahambukuje	Ndambari	Nicaragua	No value	Nyanza	Orleans	Paidjan	Panama	Patoc	Perameles	Peru	Pinchang	Poi	Polonica	Pomona	Portblairi	Portlandvere	Princestown	Proechimys	Pyrogenes	Ramisi	Ranarum	Ratnapura	Ricardi	Robinsoni	Roumanica	Rushan	Saopaulo	Sarmin	Saxkoebing	Schueffneri	Sejroe	Sentot	Shermani	Smithi	Sokoine	Sorexjalna	Sumneri	Szwajizak	Tabaquite	Tarassovi	Tonkini	Topaz	Tropica	Tsaratsovo	Tunis	Unipertama	Valbuzzi	Vanderhoedeni	Varela	Varillal	Vughia	Weaveri	Weerasinghe	Wolffi	Yunnan	Zanoni	Zhenkang	other	Total
No value		1					6	57	1		1			2	1		1	7		1				1		1	1	1		2			1	18	1		1			1	20		1	1	1	1	1		1		1		1		1		12	1	1			1	1		1		2		1	1	2	1	1			15	1	1	2		1	1	1	1	1		9				1	2						1	1	1	3			1		1	1	1	1	1	2	1	1	1						1			2		1	1	1	1	1	1	481		1			2	1	1		3	1		1		1	1	19	2		7				1	1	1	4		2		1		1				1	1	1	1	1			1	9		1		1	1			1			19	792
1																																																																																													1																																																																																														1
2																																																																																																																																																																					1																						1
3																																		3							1																																													1																																													13													1																																											19
4																																																																																																																																														1																																													1
5																																																																																																																																			1																						1																																		2
6																																																																	1																																																																		4																																																								5
7																																																																																															5																																				7																																																								12
9																																																																																																																																																																															1												1
10																																																											1																																																																																																																																1
11																																																																																																																																																																												1															1
12																																																																																																												9																							2																																																								11
13							1																																																																																																																																																																																				1
14																																																				1																																																																																																																																							1
15																																																																		1																																																																																																																									1
16																																																																																																					1																				1																																																																		2
17																														1																																																																																																																																																													1
18																															1																																																																																																																																																												1
19																																				1																																																																																																																																																							1
20																																																																																																	1																																																																																										1
21																																																																																																																						1																																																																					1
22																																																																																																																														1																																																													1
23																																																																																																																																																																																					1						1
24																		1																																																																																																																																																																									1
25																																																																																																						1																																																																																					1
26																																																																																																																																						1																																																					1
27																			1																																																																																																																																																																								1
28																							1																																																																																																																																																																				1
29																													1																																																																																																																																																														1
30																																																																																1																																																																																																											1
31																																												1																																																																																																																																															1
32																																														1																																																																																																																																													1
33																																																													1																																																																																																																														1
34																																																																																																																																																																1																											1
35																																																						1																																																																																																																																					1
36																																																																																																																																																																		1																									1
37	1																																																																																																																																																																																										1
38																					1																																																																																																																																																																						1
39																																1																																																																																																																																																											1
40																																																																																																																																																			1																																								1
41																																																																																																																																																								1																																			1
42																																																																																																																																																																																								1			1
43																																																								1																																																																																																																																			1
44																																																														1																																																																																																																													1
45																																																																																																																																																							1																																				1
46																																																																																																																																																																																						1					1
47																																									88																																			9																																																							21																																																								118
48																																									1																																																																																																																																																		1
49																																																																																																																																			1																																																								1
50																																																																																																																																			1																																																								1
51																																																																																																																																			1																																																								1
52																																																																	1																																																																		11											12																																													24
53																																																																																																																																			2																																																								2
54																																																																																																																																																																						1																					1
55																																																																																																																																														1																																													1
56																																																																																																																																			1																																																								1
57																																																										1																																																																																																																																	1
58																																																																																																																																														1																																													1
59																																																																																																																							1																																																																				1
60													1																																																																																																																																																																														1
61												1																																																																																																																																																																															1
62																																																																																																																				1																																																																							1
63																																																		1																																																																																																																																									1
64			1																																																																																																																																																																																								1
65										1																																																																																																																																																																																	1
66																1																																																																																																																																																																											1
67																																																												1																																																																																																																															1
68																																						1																																																																																																																																																					1
69																																										1																																																																																																																																																	1
70																																																																																																																																							1																																																				1
71																																																																																										1																																																																																																	1
72																																																1																																																																																																																																											1
73																																																			1																																																																																																																																								1
74																																																																				1																																																																																																																							1
75																																																																																														1																																																																																													1
76																																																																																												1																																																																																															1
77																																																																																																																																				1																																																							1
78																																																																																																																																																																																1											1
79																																																																																									1																																																																																																		1
80																																																																																																																																																																																									1		1
81																																																																																																											1																																																																																1
82						1																																																																																																																																																																																					1
83																																																																																																							1																																																																																				1
84																									1																																																																																																																																																																		1
85																																																																																																																																																																													1														1
86					1																																																																																																																																																																																						1
87																																																																																																																																																																								1																			1
88																																							1																																																																																																																																																				1
89																																																																																																																																												1																																															1
90																																																																																																																			1																																																																								1
91																																																																																																																					1																																																																						1
92																																																																																																																																																																				1																							1
93																																																																															1																																																																																																												1
94																																																																																																																																																														1																													1
95																																																																																																																																																						1																																					1
96																																																																																																																										1																																																																	1
97																																																																																																																																			1																																																								1
98							1																																																																																																																												2																																																								3
99														70																							1																																																																																														8																																																								79
100																																																									1																																																																										4																																												1												6
101																																																																																																																							4												1																																																								5
102																																																																																																																																			1																																																								1
103																																																												1																																																																																																																															1
104															1																																																																																																																				1																																																								2
105																																																																																																																																			1																																																								1
106																																																																																																																																			1																																																								1
107								1																																																																																																																											3																																																								4
108																		4																1																																																																																																	1																																																								6
109																		1																																																																																																																	1																																																								2
110																		1																																																																																																																	1																																																								2
111																		1																																																																																													3																				5																																																								9
112								1														1																																																																																																													1																																																								3
113																												1																																																		2																							1																				1										5																																																								10
114																														1																																																																																																					1																																																								2
115																																		1												1																																																																																																																																													2
116																																																									2																																																																										1																																																								3
117																																																									2																																																																										1																																																								3
118																																																									1																																																																										1																																																								2
119																																																									1																																																																										1																																																								2
120																																																									1																																																																																																																																		1
121																																																																																																																																			2																																																								2
122																																																																																																1																																																																																											1
123																																																																																																																												1																																																															1
124																																																																																																																																														1																																													1
125																																																																																																																																			1																3																																								4
126																																																																																																																																																			2																																								2
127																																																																																																																																			3																5																																								8
128																																																																																																																																																			1																																								1
129																																																																																																																																																			1																																								1
130																																																																																																																																																																															2												2
131																																																																																																																																																																																								1			1
132																																																																																																																																			7																																																								7
133																																																																																																																																			1																																																								1
134																																																																																																																																			2																																																								2
135																																																																																																																																			2																																																								2
136																																																																																																																																			1																																																								1
137																																																																																																																																			4																																																								4
138								1																																																																																																																																																																																			1
139								1																																																																																																																											1																																																								2
140																																																																																																																																			1																																																								1
141																						1																																																																																																													1																																																								2
142																																																									1																																																																										2																																												1												4
143																						1																																																																																																																																																																					1
144																																												1																																																																																							1																																																								2
145																																																									1																																																																										1																																																								2
146																																																																																																																							1																																																																				1
147																																																																																																																																																																			1																								1
148																																																																																																																																			1																																																								1
149																																																																																																																																			3																																																								3
150																		1																																																																																																																	2																																																								3
151																																																																							1																																																												1																																																								2
152																																																																																																																																			1																																																								1
153																																																																																																																																			2																																																								2
154																																																																																																																																			2																																																								2
155																																																																																																																																			1																																																								1
156																																																																																																																																			1																																																								1
157				1																																																																																																																															1																																																								2
158																																																																																																																																																																	2																										2
159																																																																																																																																			2																																			1																					3
160																																																																																																																																			3																																																								3
161																																																																																																																																			1																																																								1
162																																																																																																																																			1																																																								1
163																																																																																																																																			1																																																								1
164																																																																																																																																			2																																																								2
165																																																																																																																																			2																																																								2
166																																																																																																																																			1																																																								1
167																																																																																																																																			2																																																								2
168																																																																																																																																			1																																																								1
169																																																																																																																																			2																																																								2
170																																																																																																																																			2																																																								2
171																																																																																																																																			1																																																								1
172																																																																																																																																			2																																																								2
173																																																																																																																																			2																																																								2
174																																																																																																																																			1																																																								1
175																																																																6																																																																			4																																																								10
176																																																																1																																																																			1																																																								2
177																																																																															5																																																				4																																																								9
178																																																																																							1																																												3																																																								4
179																																																																																																																					1														4																																																								5
180																																																																																																																																														1																																													1
181																																																																																																																																			6																																																								6
182																																																																																																																																			2				1																																																				3
183								1																																																																																																																																																																																			1
184																																																																																																																																			2																																																								2
185																																																																																																																																			2																																																								2
186																																																																																																																																			2																																																								2
187																																																																																																																																			1																																																								1
188																																																																																																																																			1																																																								1
189																																																																																																																																			1																																																								1
190																																																																																																																																			1																																																								1
191																																																																																																																1																			1																																																								2
192																																																																																																																																			2																		1																																						3
193																																																																																																																																																																										1																	1
194																																																																																																																																			1																																																								1
195																																																																																																																																			1																																																								1
196																																																																																																																1																																																																											1
197																																																																																																																																			2																																																								2
198																																																																																																																1																																																																											1
199																																																																																																																																			4																																															2									6
200																																																																																																																																			4								1																																																5
201																																																																																								1																																											1																																																								2
202																																																																										1																																																									1																																																								2
203																																																																																																									1																										1																																																								2
204																																																																											1																																																								1																																																								2
205																																																																																																																																			2																																																								2
206																																																																																																																																			1																																																								1
207																																																																																																								1																											2																																																								3
208																																																																																															1	1																																																																																											2
209																																																																																																																							1																																																																				1
210																																																																																																																																			1																																																								1
211																																																																																																																																			1																																																								1
212																																																																																																																																			2																																																								2
213																																																																																																																																			1																																																								1
214																																																																																																																																			1																																																								1
215																																																																																																																																			2																																																								2
216																																																																																																																																			1																																																								1
217																																																																																																																																			1																																																								1
218																																																																																																																																			1																																																								1
219																																																																																																																																			1																																																								1
220																																																																																																																																			2																																																								2
221																																																																																																																																			1																																																								1
222																																																																																																																																			1																																																								1
223								1																																																																																																																											1																																																								2
224																																																																																																																																			3																																																								3
225																																																																																																																																						1																																																					1
226																																									1																																																																																										2																																																								3
227																																																																																																																																			1																																																								1
228																																																																																																																																			1																																																								1
229																																																																																																																																			1																																																								1
230																																																																																																																																			1																																																								1
231																																																																																																																																			1																																																								1
232																																																																																																																																			1																																																								1
233																																																																																																																																																																																						1					1
234																																																																																																																																			2																																																								2
235																																																																																																																																			1																																																								1
236																																																																																																																																			1																																																								1
237																																																																																																																																			1																																																								1
238																																																																																																																																			1																																																								1
239																																																																																																																																			1																																																								1
240																																																																																																																																			1																																																								1
241																																																																																																																																			1																																																								1
242																																																																																																																																			1																																																								1
243																																																																																																																																			1																																																								1
244																																																																																																																																			1																																																								1
245																																																																																																																																			1																																																								1
246																																																																																																																																			1																																																								1
247																																																																																																																																			1																																																								1
248																																																																																																																																			2																																																								2
249																																																																																																																					1														1																																																								2
250																																																																																																																																			1																																																								1
251																																																																																																																																			1																																																								1
252																																																																																																																																			1																																																								1
253																																																																																																																																			1																																																								1
254																																																																																																																																			1																																																								1
255																																																																																																																																			1																																																								1
256																																																																																																																																			1																																																								1
257																																																																																																																																			1																																																								1
258																																																																																																																																			1																																																								1
259																																																																																																																																			1																																																								1
260																																																																																																																																			1																																																								1
261																																																																																																																																			1																																																								1
262																																																																																																																																			1																																																								1
263																																																																																																																																			1																																																								1
264																																																																																																																																			1																																																								1
265																																																																																																																																			1																																																								1
266																																																																																																																																			1																																																								1
267																																																																																																																																			1																																																								1
268																																																																																																																																			1																																																								1
269																																																																																																																																			1																																																								1
270																																																																																																																																			1																																																								1
271																																																																																																																																			1																																																								1
272													1																																																																																																																																																																														1
273														1																																																																																																																																																																													1
Total	1	1	1	1	1	1	8	63	1	1	1	1	2	73	2	1	1	16	1	1	1	3	1	1	1	1	1	2	1	4	1	1	1	23	1	1	2	1	1	1	111	1	1	3	1	3	1	1	1	1	2	1	1	1	1	1	22	2	2	2	1	2	1	7	3	1	2	1	1	1	3	1	1	1	1	24	1	3	8	1	1	1	1	1	1	1	10	1	1	1	1	3	1	1	6	2	1	1	1	1	5	1	1	2	1	1	2	10	1	1	5	4	1	1	1	1	3	1	7	1	2	1	2	1	1	2	1	1	1	1	785	1	1	2	2	2	1	1	1	4	1	17	1	1	1	1	32	2	1	8	1	1	1	1	1	1	4	1	2	1	3	1	2	1	1	2	1	2	1	2	1	1	1	1	14	1	1	2	1	1	1	2	1	2	1	19	1495

