Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	No value	1	2	5	6	7	8	9	12	13	14	16	Total
No value	1												1
1	36	5		2	1			1	2				47
2	7		3										10
3			1										1
4	2												2
5	1												1
6	1												1
7	10												10
8	7												7
9	3												3
10	1												1
11	2												2
12	1												1
13	1												1
14	2												2
15	1												1
16	4				1							2	7
17	1												1
18	1												1
19	1												1
20	1												1
21	1												1
22	1												1
23	1												1
24	1												1
25	1												1
27	1												1
28	2					2							4
29	1												1
30		1											1
31							1						1
32										1			1
33							1				1		2
34								1					1
36	6												6
37	1												1
38	1												1
39	1												1
40	1												1
41	1												1
42	1												1
43	1												1
44	7												7
45	1												1
46	2												2
47	1												1
48	1												1
49	1												1
50	1												1
51	1												1
Total	121	6	4	2	2	2	2	2	2	1	1	2	147

