Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	A	B	C	Ib	NG	NST	NT	No value	P1.-	P1.12	P1.13	P1.14	P1.19	P1.7.10	P1.9	P2.22	P2.2a	P2.2b	P3.1	P3.14	P3.14,19	P3.15	P3.15,2.2a	P3.15,21	P3.19	P3.21	P3.22	P3.4	P3.4,21	P3.8,19	W	W-135	WII/III	b4	nt	nt, 1.16, nt	nt, p1.14, nt	nt, p1.15, nt	nt, p1.3, p1.6	nt, p1.9, nt	nt,14,nt	nt,nt,nt	nt,nt,p1.3	nt,nt,p1.9	nt,p.1.4,nt	nt,p1.13,nt	nt,p1.14,nt	nt,p1.16,nt	nt,p1.2,nt	nt,p1.3,nt	nt,p1.3,p1.6	nt,p1.4,nt	nt,p1.9,nt	p.1.19,p1.15,nt	p1.19, nt, nt	p1.19,nt,nt	p1.19,p1.15,nt	p1.5,nt,nt	p1.5,p1.2,nt	p1.7,nt,nt	y	1	1, 4	1,14	1,19	1W	1.14	1.7, 1.16, nt	1.7,1.16,nt	1.7,nt,nt	2	2, 10	2, 7	2A	2B	2C	2W	2a	2a,nt,nt	2b	2b, 4	2b,15	2b,16	2b/15	2c	2c, 4	3,14	3.1	3.14	3.15	3.22	4	4, 14, 21	4, 15	4, 21	4,10	4,10,1	4,14	4,15	4,21	4,7	4,7,14	4Z	4p,z	4.14	4.15	4.7	5	5, 12	5,nt,nt	6	7	7,17	7,19	7,8,19	8	8,1	8,10,19	8,19	8,19,22/23	8,9,10	8,9,22/23	9	10	11	12	14	14,15	14,16,19	14,19	14,19.	15	15,16	15,19	15,21	15,23	15,8	15/16	15?	15W	15wk	16	17	17,10	17,7	19	19,1	19,10	19,14	19,21	19,7	21	22	23	Total
No value		1					537	2416								3																			5																		1									98			2						1					1		143		46					2							176										2						1																2			107			1		125		1								1	1			2						4	1		3680
1							1	178																																																																1																				3			3					8																1																																				11			206
2								16																																																																																												16																																																				7			39
3								8						1																																																																														2								5																																																							16
4								42																																																																																				2								10																																																				1			55
5							1	53																																																																																				79			2					8																																1																							144
6																																																																																																				1																																																							1
7								297																					1																																																															170								6																																																				3			477
8							1	350																											1																								2							1					3	7	1		1			6		367	5											1																								1																2																				1			750
9								7																																																																								1																																																																											8
10								4																																																																																																																																																			4
11							85	6979									11														2																		1										2			1										1						1008	1	50												5			1															1															2		2															1													8153
12																																																																																																																				1																																							1
13							3	24																																																																																				1																																																												3			31
15							2	8																																																																																																																																						2													12
16								1																																																																																																																																																			1
17								7																																																																																				1																																																															8
18							12	63																																							1																																													1																																																													12		89
19							1	1																																																																																																																																																	1		3
20								1																																																																																																																																																			1
21																																																																																																				1																																																							1
22							47	556																											1							1																													1							3		2																																																				1																							612
23							45	1544																																		1																				1									1					1		2														2						2																													55		1	12																			1						1668
24								5																																																																																																																																																			5
25																																																														1																																																																																													1
26								1																																																																																				9																																							1																								11
27							2																																																																																																																																																				2
28								2																																																																																																																																																			2
29								2																																																																																																																																																			2
30								1																																																																																				2																																																															3
31							1	1																																																																																																																																																			2
32							9	1371														11	1	1																																				1		1						1					1																	1		8		1																						1											29					137						3		1						1									1579
33							23	487																																																						3																														299									4						1									1	1															7					3	1																	830
34							4	289																				1																																																					1											13																																																															308
35							14	312																				1																			1															1																														47								1	3																										5					1																							386
36							5	1																																																																																																																																																	5		11
37								14																																																																																																																					1																														15
38							1	2																																																																																																																																																			3
39								16																																																																																																																																																			16
40								116																																																						4																														6																																			2																												128
41							34	1320																				2																								3										8																		5												151		2	3						3													1		1											11					4					2															4	1		1555
42							7	280																				2																																																																9																																								1																							299
43							7	111																																																						1																														5																								2		1		1		1					1					3									1					1						1			136
44							3	186																																																						2																		1												20							1																												4					3											2												222
45							1	4																																																																																																																																																			5
46							2	33																																																																																				2																																			1																												38
47							1	4																																																																																																												1																																							6
48							1																																																																																																																																																				1
50								4																																																																																																																																																			4
51								6																																																																																																																																																			6
52								3																																																																																																																																																			3
53	1						120	1154																																																																						1		1												1																																			5					1																				21			1305
54								1																																																																																																																																																			1
55								4																																																																																																																																																			4
56								1																																																																																																																																																			1
57								2																																																																																												1																																																							3
58																																																																																																				1																																																							1
59								1																																																																																												1																																																							2
60							20	467																																																			2																					1												2																																			1															9													502
61							1	1																																																																																																																																																			2
62								1																																																																																																																																																			1
63								1																																																																																																																																																			1
64								1																																																																																																																																																			1
65								1																																																																																																																																																			1
66							1	74									1	8																																																														28												3																																																															115
67								17																																																																						1																																																																													18
68								2																																																																																												2																																																				1			5
69								1																																																																																																																																																1			2
70																																																																																																				2																																																							2
71																																																																																																				1																																																							1
72																																																																																																				1																																																							1
73								1																																																																																												1																																																				2			4
74								12																																																																																																																												7					2	2																	23
75	1							126																																																																																												1																																																				4			132
76																																																																																																				4																																																							4
77								2																																																																																												5																																																							7
78								1																																																																																																																																																1			2
79							1																																																																																																																																																				1
80								1																																																																																																																																																			1
81																																																																																												1																																																															1
82							1	1																																																																																																																																																1			3
83							1																																																																																																																																																				1
84							1																																																																																																																																																				1
85								8																																																																																				16																																																															24
86							2																																																																																																																																																				2
87							1																																																																																																																																																				1
88							1																																																																																																																																																				1
89							1	3																																																						2																																																																																													6
90							1	1																																																						1																																																																																													3
91							5																																																																																																																																																				5
92							14	13																																																																						1														1																																								2																							31
93							1																																																																																																																																																				1
94							2	2																																																																																																																																																			4
95							1																																																																																																																																																				1
96							1																																																																																																													1																																				1			3
97																																																														1																																																																																													1
98																																																																																												1																																																															1
99								6																																																						3																																																																																													9
100																																																																																												2																																																															2
101							1	10																																																																																				7								5																																																							23
102							1																																																																																																																																																				1
103							22	177																																																																						1		3												2			1																																																												206
104								3																																																																																																																							1					4				1																			9
105																																																																																																																																				1																							1
106							2	5																																																						23																																																																																													30
107																																																																																																																																				1																							1
108								2																																																																																				1																																																															3
109																																																																																												1																																																															1
110							1	29																																																																																				18																										1																																					49
111																																																																																												2																																																															2
112								19																																																						2																														7																																								3																							31
113																																																																																																																															1																												1
114							8	57																																																																								1																																																														1													67
115																																																																																1																																																																											1
116								8																																																						4																																																																	1					11				1																			25
117							4	1																																																						1																																																																						1																					1		8
118								4																																																																																																																								1				4																							9
119																																																														1																																																																																													1
120							3	11																																																																																																																																																			14
121							2																																																																																																																																																				2
122							1	4																																																																																																																																																			5
123							1	2																																																																																																																																																			3
124							1																																																																																																																																																	1			2
125							1	3																																																						8																																																																																													12
126							1																																																																																																																																																				1
127							1	3																																																																																				2																																																															6
128								1																																																						1																																																																																													2
129								2																																																						1																																																																																													3
130							10	7																																																						1																																																																																													18
131							1																																																																																																																																																				1
132							3	1																																																																																																																																																			4
133																																																																																																																															2																												2
134																																																																																												1																																																															1
135								2																																																																																				1																																																															3
136							29	183														1																																																																						2																																								5																							220
137																																																																																												2																																																															2
138																																																																																												1																																																															1
139							1																																																																																																																																																				1
140																																																																																												1																																																															1
141																																																														1																																																																																													1
142								1																																																																																				2																																																															3
143								1																																																																																																																												1																							2
144							1																																																																																																																																																				1
145							4	46																																																																																																																							1									1																	19		71
146							1	68																																																																																				3																																			4									1										1									78
147							1																																																																																																																																																				1
148																																																																																																																																				1																							1
149																																																														1																																																																																													1
150																																																																																												1																																																															1
151							2																																																																																																																																																				2
152																																																																																																																																				1																							1
153							1	40																																																																						4		138												7																																																															190
154								283																																		1										8																																								8																																			3																												303
155																																																																																												1																																																															1
156								1																																																																																																																																																			1
157								1																																																																																																																																																			1
158							1	1																																																																																																																																																			2
159							1	3																																																																																				1																																																															5
160								35																																																																																				9																																			1																												45
161							2																																																																																																																																																				2
162							30	401																																		1																				3																		1												10																																			2					1														1						2	2		454
163							3	2																																																																																				2																																																															7
164																																																																																												8																																																															8
165								1																																																																																																																																																			1
166																																																																														1																																																																													1
167							3	66																																																																																				2																																																															71
168								177																																																																																				1																																			6			1																									185
169							1	2																																																																																																																																																			3
170							1	40																																																						1																														1																																																															43
171							2																																																																																																																																																				2
172																																																																																																																																																								1			1
173							1																																																																																																																																																				1
174							3	15																																																																																																																												1																							19
175							4	280																																																																																				2																																																															286
176								1																																																																																																																																																			1
177																																																																																																																																																									1		1
178							3	82																																																																																																																												1																							86
179							1																																																																																																																																																				1
180							2	99																																																						3																		1												6																																			3					8																							122
181							27	138																																																																																																																												1																							166
182								5																																																																																																																																																			5
183							1	65																																																																																																																							1																												67
184							15	505																																																																																																																																																			520
185							5	22																																																																																																																							1																												28
186							1	1																																																																																																																																																			2
187																																																																																																																																				4																							4
188								6																																																																																																																																																			6
189							7	15																																																																																																																																																			22
190								1																																																																																																																																																			1
191								28																																																																																				1																																																															29
192							41	1109																																																																																																																																																			1150
193								1																																																																																				1																																																															2
194								2																																																																																																																																																			2
195								1																																																																																																																																																			1
196							2	3																																																																																																																																																			5
197							1	1																																																																																				1																																																															3
198							5	308																																																																																																																												16																							329
199								5																																																																																																																																																			5
200								1																																																																																																																																																			1
201								1																																																																																																																																																			1
202								1																																																																																																																																																			1
203								1																																																																																																																																																			1
204																																																																																												1																																																															1
205																																																																																												2																																																															2
206							8	30																																						1																3																		6												22	1		14																																																									2			87
207							1	52																																																						2																														2																																								2																							59
208																																																														1																																																																																													1
209																																																																																																																															1																												1
210																																																																																												1																																																															1
211								2																																																																						4																																																																													6
212							2	68																																																						2																																																																																													72
213							26	1478											1															1																												33																														2																																																												1			1542
214								3																																																																																																																																																			3
215								1																																																																																				1																																																															2
216																																																														1																																																																																													1
217							1																																																																																																																																																				1
218							1																																																																																																																																																				1
219																																																																																												1																																																															1
220							1	12																																																																																																																												1																							14
221							1																																																																																																																																																				1
222								1																																																																																																																																																			1
223								1																																																																																																																																																			1
224							1																																																																																																																																																				1
225							4	2																																																																																																																																																			6
226							3	14																																																																																																																																																	1		18
227							1																																																																																																																																																				1
228								1																																																																																																																																																			1
229							4	1																																																																																																																																																			5
230								14																																																																																																																												7																							21
231							4	2																																																																																				1																																																															7
232								21																																																																																				2																																																															23
233																																																																														1																																																																													1
234							1																																																																																																																																																				1
235							1	4																																																																																																																																																			5
236								1																																																																																																																																																	1		2
237								1																																																																																																																																																			1
238								1																																																																																																																																																			1
239								2																																																																																																																																																			2
240								1																																																																																																																																																			1
241								1																																																																																																																																																			1
242								1																																																																																																																																																			1
243								2																																																																																																																																																			2
244								3																																																																																				1																																																															4
