Breakdown of ST (S. mutans MLST (Nakano)) by serotype:
Selected options: Display values only. 

ST (S. mutans MLST (Nakano))	serotype
	No value	c	c 	e	f	k	Total
No value	173	115	1	16	2	1	308
1		1					1
2		8			1		9
3				1			1
4		1					1
5		1		1			2
6				1			1
7				1			1
8		2					2
9		1					1
10				3			3
11				1			1
12		1					1
13				1			1
14					1		1
15					1		1
16						1	1
17		1					1
18		1					1
19				1			1
20		1					1
21					1		1
22				1			1
23		1					1
24		1					1
25		2					2
26		1					1
27		1					1
28				1			1
29		1		1			2
30				1			1
31		1					1
32		1					1
33		1					1
34					1		1
35					1		1
36						1	1
37					1		1
38						1	1
39		9			1		10
40				1			1
41				1			1
42				1			1
43		1					1
44		1					1
45		1			1		2
46					1		1
47						1	1
48					1		1
49		21					21
50		1					1
51		1					1
52		10		1			11
53		1					1
54		1					1
55						1	1
56				1			1
57					1		1
58		1					1
59		1		1			2
60		1					1
61		1					1
62		1					1
63		3					3
64		1					1
65		1					1
66						4	4
67						1	1
68						1	1
69					1		1
70		1					1
71				1			1
72		2		12			14
73				1			1
74				1			1
75				1			1
76				2			2
77				1			1
78				1			1
79						1	1
80						1	1
81				1			1
82		11					11
83				1			1
84				1			1
85					2		2
86					1		1
87						1	1
88						1	1
89		1					1
90		1					1
91					1		1
92		1					1
93		3					3
94		2					2
95		1					1
96		6		3			9
97		7					7
98		12					12
99		9					9
100		6					6
101				1			1
102		6					6
103		6					6
104		6					6
105				3			3
106		6					6
107		3					3
108					3		3
109		2					2
110		2					2
111		1			1		2
112		1					1
113		1					1
114		2					2
115		2					2
116				1			1
117				1			1
118				1			1
119				2			2
120				1			1
121					1		1
122					2		2
123					2		2
124					1		1
125						1	1
126		1					1
127		1					1
128		1					1
129		1		2			3
130		1					1
131		1					1
132				1			1
133				1			1
134				1			1
135				1			1
136					1		1
137					1		1
138					1		1
139					1		1
140						3	3
141						2	2
142						1	1
143		1					1
144				1			1
145				1			1
146						1	1
147		1		1			2
148		1					1
149		1					1
150		1					1
151		1					1
152						1	1
153					1		1
154					1		1
155		1					1
156		1					1
157		1					1
158					1		1
159						1	1
160						1	1
161						1	1
162						1	1
163		1					1
164		1					1
165		1					1
166					1		1
167		1					1
168				1			1
169		1					1
170				1			1
171				1			1
172		1					1
173						1	1
174				1			1
175		1					1
176		1					1
177		1					1
178						1	1
179		1					1
180		1					1
181		1					1
182		1					1
183		1					1
184		1					1
185				1			1
186		1					1
187						1	1
188						1	1
189		1					1
190		1					1
191		1					1
192		1					1
193		1					1
194		1					1
195		1					1
196		1					1
197		1					1
198		1					1
199		1					1
200		1					1
201		1					1
202		1					1
203		1					1
204						1	1
205						1	1
206		1					1
207		1					1
208		1					1
209		1					1
210		1					1
211		1					1
212		1					1
213	1						1
214	1						1
215	1						1
216	1						1
217	1						1
218	1						1
219	1						1
220	1						1
221	1						1
222	1						1
223	1						1
224	1						1
225	1						1
226	1						1
227	1						1
228	1						1
229	1						1
230	1						1
231		2					2
232		2					2
233		2					2
234		1					1
235		2					2
236		4					4
237		2					2
238		5					5
239		2					2
240		2					2
241		2					2
243		4					4
244		2					2
245		2					2
246		4					4
247		5					5
248		2					2
249		1					1
250		2					2
251		2					2
252		2					2
254		2					2
256		2					2
257		4					4
258		2					2
260		2					2
265		1					1
269		1					1
293		2					2
295		2					2
297		2					2
299		2					2
301		2					2
303		2					2
307		2					2
Total	191	434	1	86	37	35	784

