Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	Boryong	Gilliam	Karp	No value	Total
1				4	4
2				7	7
3				1	1
4				3	3
5				1	1
6				5	5
7				1	1
8				1	1
9				3	3
10				2	2
11				1	1
12				1	1
13				2	2
14				1	1
15				1	1
16				1	1
17				1	1
18				1	1
19				1	1
20				1	1
21				1	1
22				1	1
23				1	1
24				1	1
25				2	2
26				1	1
27				3	3
28				1	1
29				19	19
30				4	4
31				1	1
32				1	1
33				4	4
34				4	4
35				1	1
36				1	1
37				4	4
38				2	2
39				1	1
40				1	1
41				1	1
42				1	1
43				1	1
44				1	1
45			1		1
46		1			1
47				1	1
48	33			1	34
49				1	1
50				1	1
51				2	2
52				1	1
53				1	1
54				1	1
55				1	1
56				1	1
57				2	2
58				3	3
59				2	2
60				1	1
61				1	1
62				1	1
63				1	1
64				1	1
65				2	2
66				1	1
67				2	2
68				1	1
69				2	2
70				1	1
71				3	3
72				1	1
73				1	1
74				1	1
75				2	2
76				1	1
77				1	1
78				2	2
79				1	1
80				1	1
81				1	1
82				1	1
83				1	1
84				1	1
85				1	1
86				7	7
87				1	1
88				1	1
89				1	1
90				1	1
91				1	1
92				1	1
93	23				23
94	1				1
95	1				1
96			1		1
97			2		2
98	1				1
Total	59	1	4	161	225

