Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	A/1	F/11	F/12	G	NA	NT	No value	Not typable	O1	O1, O3, O6,O10	O10	O11	O12	O13	O14	O15	O15:O10:O14	O1:O3:O14	O1:O3:OII	O1:OII	O3	O3:O4	O3:O4:O13	O4	O4:O11	O4:O7:O11	O4:O9	O4:OII	O5	O6	O6:O10	O6:O12:O13:O14	O6:O12:O14	O6:O13:O14	O6:O14	O6:O9:O10:O4	O7	O7:O8	O8	O9	O9:O12	O9:O14	O:11	O:12	O:4	OII	ONT	P. aeruginosa	PA	no agglutinating	non serotypable	not typeable	6	2943	Total
No value							199		1		1										1																																		202
1							1																																																1
2							1																																																1
3							1																																																1
4							2																																																2
5							1																																																1
6							1																																																1
7							1																																																1
8							1																																																1
9							6		1																																														7
10							1																																																1
11							1																																																1
12							3																																																3
13							1																																																1
14							1																																																1
15							1																																																1
16							6																																																6
17							86		2																																														88
18																																																	1						1
20																																			1																				1
21																					1																																		1
22																										1																													1
23																1																																							1
25																																			1																				1
26																																																	1						1
27							62		1			1	1											2																						2									69
28						1																																																	1
32												1																																											1
34																																								1															1
35																																	1																						1
37																																						1																	1
38																					1																																		1
39																																														1									1
40																																						1																	1
41							6																																																6
43																																														1									1
44																		1																																					1
45																																									1														1
46																																								1															1
47																																																	1						1
52												1																																											1
53																																																	1						1
57													1																																										1
58																												1																											1
59												1																																											1
61																1																																							1
62												1																																											1
64																1																																							1
70																																																	1						1
71												1																																											1
72																																																	1						1
73											1																																												1
75																																		1																					1
78																																																	1						1
81																																			1																				1
82																																														1									1
83																																																	1						1
84																									1																														1
85																									1																														1
86																																																	1						1
88																																																	1						1
89																																						1																	1
93															1																																								1
94																																			1																				1
95																																				1																			1
97																		1																																					1
99																																														1									1
101							1																																																1
102							2																																																2
103							1																																																1
104							1																																																1
105							1																																																1
106							1																																																1
107							1																																																1
108							8																																																8
109							1																																																1
110							6																																																6
111			5				206						9																														1												221
112							2																																																2
113							1																																																1
114							2																																																2
115							1																																																1
116							5																																																5
117							2																																																2
118									1																																														1
123							1																																																1
126																														1																									1
127																																							1																1
128							4																																																4
129																					1																																		1
131							1																																																1
132							20																							1																									21
133																					1																																		1
134																														1																									1
135																														1																									1
136							2																																																2
137							3																																																3
139							2																																																2
141							1																																																1
142							1																																																1
143							1																																																1
144							1																																																1
145							1																																																1
146							38																																																38
147							4																																																4
148							5																																																5
149							3																																																3
151							3																																																3
152							3																																																3
153							1																																																1
154							1																																																1
155							76																																																76
156							5																																																5
159							1																																																1
160							4																																																4
161							2																																																2
162							6																																																6
163							1																																																1
164							18																																																18
166							1																																																1
167							10																																																10
168							1																																																1
169							1																																																1
170							12																																																12
171							2																																																2
172							1																																																1
173							1																																																1
174							1																																																1
175							129																																																129
179							89																																																89
180							2																																																2
181							1																																																1
182							1																																																1
183							2																																																2
186							2																																																2
187							1																																																1
188							1																																																1
189							1																																																1
190							1																																																1
191							1																																																1
192							10																																																10
194							1																																																1
195							12																																																12
197																																																	1						1
198							7														2																																		9
199							1																																																1
200							1																																																1
201							2																																																2
202							2																																																2
203							1																																																1
204							2																																																2
205							5																																																5
206							1																																																1
207							26																																																26
208							1																																																1
209							7																																																7
211							1																																																1
212							1																																																1
213							2																																																2
214							1																																																1
