Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	No value	1	2	6	Total
1	11				11
2	8		1		9
3	8				8
4	2				2
5	4				4
6	2				2
7	4				4
8	2				2
9	1				1
10	2				2
11	7				7
12	1				1
13	4				4
14	1				1
15				1	1
16	1				1
17	2				2
18	1				1
19		1			1
20	3				3
21	8				8
22	1				1
23	1				1
24	1				1
25	1				1
26	1				1
27	1				1
28	2				2
29	1				1
30	1				1
31	2				2
32	1				1
33	1				1
34	3				3
35	12				12
36	1				1
37	1				1
38	3				3
39	1				1
40	1				1
41	15				15
42	2				2
43	1				1
44	3				3
45	2				2
46	1				1
47	1				1
48	1				1
49	1				1
50	1				1
51	1				1
52	1				1
53	1				1
54	1				1
55	1				1
56	1				1
57	5				5
58	4				4
59	1				1
60	7				7
62	3				3
63	4				4
64	1				1
65	1				1
66	1				1
67	1				1
68	1				1
69	1				1
70	1				1
71	1				1
72	1				1
73	1				1
74	1				1
75	1				1
76	1				1
77	2				2
79	1				1
80	1				1
81	1				1
82	2				2
83	1				1
Total	187	1	1	1	190

