Breakdown of ST (MLST) by serovar:
Selected options: Display values only. 

ST (MLST)	serovar
	Abaetetuba	Aberdeen	Abony	Abortusequi	Abortusovis	Adelaide	Aderike	Agama	Agbeni	Ago	Agona	Ajiobo	Alachua	Albany	Altona	Amsterdam	Anatum	Anecho	Apapa	Arechavaleta	Ashford	Augustenborg	Baguida	Baildon	Bareilly	Berta	Binza	Blockley	Bonariensis	Bovismorbificans	Braenderup	Brandenburg	Brazzaville	Bredeney	Brunei	Caracas	Carmel	Carno	Carrau	Carshalton	Cerro	Charity	Chester	Choleraesuis	Coeln	Colchester	Coleypark	Colindale	Concord	CoppettsWood	Cork	Corvallis	Cotham	Cubana	Curacao	Derby	Dublin	Durham	Ealing	Eastbourne	Edinburg	Eimsbuettel	Emek	Enteritidis	Farsta	Florida	Fluntern	Frimley	Gafsa	Galiema	Gallinarum	Gaminara	Give	Glostrup	Goelzau	Gold coast	Goodmayes	Goverdhan	Hadar	Haifa	Harrow	Hartford	Havana	Heidelberg	Herston	Hull	Hvittingfoss	Idikan	Indiana	Inganda	Inverness	Ipswich	Irumu	Isangi	Java	Javiana	Jedburgh	Johannesburg	Kentucky	Kenya	Kiambu	Kibusi	Kingslynn	Kingston	Kintambo	Kisangani	Kisarawe	Kottbus	Kua	Labadi	Lagos	Lexington	Lika	Lille	Lingwala	Litchfield	Livingstone	Lomalinda	London	Maastricht	Manhattan	Maritzburg	Martonos	Matadi	Maybush	Mbandaka	Meleagridis	Mgulani	Miami	Mikawasima	Minnesota	Mississippi	Monschaui	Montevideo	Muenchen	Muenster	Naestved	Namur	Napoli	Nchanga	Newport	Newport I	Newport II	Newport III	Nima	Norwich	Nottingham	Oakland	Ohio	Oranienburg	Orientalis	Orion	Oslo	Panama	Paratyphi A	Paratyphi B	Paratyphi BI	Paratyphi BII	Paratyphi BIII	Paratyphi BIV	Paratyphi C	Pomona	Poole	Poona	Pullorum	Ramatgan	Reading	Richmond	Ridge	Rissen	Rubislaw	Saintpaul	Sandbanks	Sandiego	Schwarzengrund	Senftenberg	Singapore	Sloterdijk	Soerenga	Stafford	Stanley	Stanleyville	Sundsvall	Szentes	Tallahassee	Teko	Tennessee	Thompson	Tomegbe	Torbay	Treforest	Tucson	Typhi	Typhimurium	Typhisuis	Uganda	Umbilo	Urbana	Vejle	Virchow	Vitkin	Wandsworth	Wangata	Weltevreden	Welwyn	Weslaco	Westhampton	Worthington	Zanzibar	other	unknown	Infantis	Total
No value			1			1	1				19		2				3					1		1	12	2				1	6	1			1						3	3	1	8		1		1								2	3			1				149								1	2						5			1		11			1		2		3			1	4	3		1	4	1	1						1		1							1	1						2			5		1	1	2	2	1	1	24	4	2					1		7	5			1		4	1	1	1	1	2	33	1	3	1		1	1	1		1	25		1	1			4	5			3	7											6	3		1			27	101		1		1		1		1		3						38	32	7	648
1																																																																1																																																																																																																																	1953																				1954
2																																																																																																																																																																																																	1045																		1		1046
4																																																																																																																																						13																																																																													1		14
5																																																																																																																																													1			13																																																																			7		21
6																																																																1																																																																																																																																																					1
8																																																																																																																																																																																																	6																				6
9																																																																																																																																																																																																																		3	2		5
10																																																									80																																																																																1																																																								2																		12		95
11																																																																3456																																																																																																						1																											2	1																1	71		3532
13											261																																													1																																																																																																																																																										3	4		269
14																																																																																																																																																																																50																		1													1				6		58
15																																																								1								1																				137																																																																																																													3	1																2	9		154
16																																																																																																																																																																																																								35										2	1		38
17																																																																																									5																																																																																																																												5
18																																																																1																																																									3																																																																																										1		5
19																																									1																							1																																			2												1																					1									1																																	1																				1292																13	71		1384
20																																4																																																																																																																																														1																																					4		9
22																															51													1																																																																																															1																																																																							1	2		56
23																																																																2																																																																																						38											1											1																																						5	11		58
24																																																												1																																				26																																																																																																																		3	17		47
26																																																																																																																																																																																												50																						2	8		60
27																																																																																																																																																																												28																						1																	2		31
28																																																																																															1																																																													2	17																																																								20
29																																																																																																																																																																																					28													4																	5		37
31																	1																																																																																																																												20		22													1																																																							2		46
32																																																																4																																																			1																																																													1																								1											13	80	100
33																																																																1															47																																																																																																																																				1		49
34																																																																2																																																																																																																																		328																4	10		344
36																																																																																																																																																																																																		48																	8		56
39											1																																													3																																																																																																																																																													4
40																																																								54																																																																																																																																																											14		68
42																																																																																															3																																																													9		5																																																				1	5		23
43																																																																																															32																																																													5			35																																																			1	3		76
44																																																																																																																									1																																																																																												1
45																																																																																																																																													22		80																																																																			2	8		112
46																																												1																																																																																																	13		7																																																																			1	4		26
47																																																																																																																																																						1																																																															1
48																																																																																																																																	1																									25																																																									7		33
49																																		1																																														13																																																																																												2																						3																	2		21
50																																												1																				1																																																																																																												31																																							5		38
51																																																																																																																																																																																					3																																3
52																												6																																																																																																																																																																																							1		7
53																																																																																																																																																																																																																		19	4		23
55																																																																																																																																																																																																																		1			1
56																																																																																																																																																																																																																			1		1
57																																																																																																																																																																																																																			1		1
58																																																																																																																																																																																																																			1		1
59																																																																																																																																																																																																																		1	2		3
60																																																																																																																																																																																																																			1		1
62																																																																																																																																																																																																																		5	3		8
63																																																																																																																																																																																																																		21	12	1	34
64																	85								1																				1																			2																																																																																																																																																		2	7		98
65																																10																																																																																																																																																																																			1		11
66																																												9																																																																																																																																																							2																		11
67																																																																																																																																																																																																																			1		1
68																																												10																																																																																																																																																																									10
71																																																								6																																																																																					1																																																																								7
72																																																								1																																																																																																																																																											1		2
73																																																									4																																																																																																																																																												4
74																																																																7																																																																																														2																																				1																	1		11
76																																																															7	1																																																																																																																																																					8
77																																																																4																																																																																																																																																					4
78																																																																							25																																																																																																																																												14		39
79																																																																																																																																																																																																																				1	1
80																																																																																																																																	8																																																																																	1	2		11
81																																																																																																																																						25																																																																													5		30
82																																												1																																																																																											6																																																																												2		9
83																																																																																																																																							15																																																																												1		16
84																																																																																																																																							1																																																																												1		2
85																																																																																																																																																											205																																						1																	4	3		213
86																																																																																															28																																																													13																																																							2		43
88																																																																																															5																																																													2				9																																																			4		20
89																																																																																																																																																													2																																																								2
90																																																																																																																																																																	8																																																		1		9
92																																																																							3																																																																																														11																																													1			15
93																																																																																																																																																																							11																																											1	4		16
94																																																																																																																																																																											8																																								2		10
95																																																																																																																																																																												13																																							6		19
96																																																																																																																																																																															16																																				1		17
97																																																																																																																																																																																						1																															1
98																																																																																																																																																																																																		3																	1		4
99																																																																																																																																																																																																		7																1	2		10
101																																																																																																																																																																																																																		1			1
102																																																																																																																																																																																																																		1			1
103																																																																																																																																																																																																																		2	1		3
104																																																																																																																																																																																																																		9	2		11
106																																																																																																																																																																																																																		6	3		9
107																																																																																																																																																																																																																		11	5		16
110																																																																																																																																																												2			10																																																						12
112																																																																																																																																							28																																			1																																								1	33		63
114																																																																																																																																																																	10																																																				10
118																																																																																																																																													26			69																																																																		2	18		115
126																																3											1																																																																																																																																			13																																					14		31
127																																																																																																																																																												2				20																																																			1		23
128																																																																																																																																																																																																		32																	9		41
129																																																																																																																																																											206																																						1																				207
132																																																																																																																																													2		1																																																																						3
133																																												1																																																																																																																																																																									1
135																																																																																															1																																																													3																																																						1	3		8
136																																																																13																																																																																																																																																					13
138																																									1																																																																																													56		1																																																																										1	7		66
139																																												7																																																																																																																																																																							2		9
142																														10														1																																																																																																																																																																									11
145																																												32																																																																																																																																																																							2		34
146																																																																																																																																																																	18																																																				18
147																																																																																																																																																																																																			7																1		8
149																																																																																															6																																																													1			16																																																						23
150																														11																																																																																																																																																																																				1	2		14
152																																																																																																			84																																																																																																															1	6		91
155																																																																																																																							14																																																																																														14
156																																																																																																																																													1																																																																								1
157																																																																																																																																													1		3																																																																				1		5
158																																																																																																																																													3																																																																								3
162																																																																																																																																																																																																																		1			1
164																																																																																																																																																1																																																																			1		2
166																																																																																																																																													4	3																																																			1																		1		9
167																																																																																																																																													3																																																																								3
168																																																																																																																																																																																																																		1			1
