Breakdown of ST (MLST) by serovar:
Selected options: Display values only. 

ST (MLST)	serovar
	No value	1	2	3	4	5	6	7	8	9	10	11	12	13	14	Total
1	134	1														135
2	11			1												12
3	5						1									6
4	14														1	15
5			1													1
6					1											1
7	6					1			1							8
8								1								1
9	33									1			1			35
10											1					1
11												1				1
12														1		1
13	5															5
14	1															1
15	2															2
16	1															1
17	1															1
18	1															1
19	2															2
20	1															1
21	2															2
22	113															113
23	2															2
24	1															1
25	1															1
26	2															2
27	1															1
28	1															1
29	2															2
30	1															1
31	3															3
32	1															1
33	1															1
34	5															5
35	1															1
36	1															1
37	1															1
38	9															9
39	1															1
40	19															19
41	1															1
42	1															1
43	1															1
44	1															1
45	1															1
46	2															2
47	2															2
48	3															3
49	1															1
50	2															2
51	1															1
52	11															11
53	1															1
54	11															11
55	1															1
56	15															15
57	1															1
58	2															2
59	1															1
60	1															1
61	1															1
62	1															1
63	2															2
64	8															8
65	2															2
66	1															1
67	6															6
68	1															1
69	6															6
70	1															1
71	1															1
72	1															1
73	1															1
74	1															1
75	1															1
76	1															1
77	1															1
78	1															1
79	2															2
80	1															1
81	1															1
82	1															1
83	1															1
84	1															1
85	1															1
86	1															1
87	1															1
88	1															1
89	1															1
90	1															1
91	2															2
92	1															1
93	1															1
94	1															1
95	4															4
96	1															1
97	1															1
98	1															1
99	1															1
107	6															6
112	1															1
114	1															1
115	1															1
116	1															1
117	1															1
118	1															1
119	1															1
120	1															1
121	1															1
122	1															1
123	1															1
124	1															1
125	1															1
126	1															1
127	1															1
128	4															4
130	1															1
131	1															1
132	1															1
133	1															1
134	1															1
135	1															1
136	1															1
137	1															1
138	1															1
139	2															2
140	1															1
141	1															1
142	1															1
143	1															1
144	3															3
145	1															1
146	1															1
147	1															1
148	1															1
150	3															3
151	1															1
152	1															1
153	3															3
154	1															1
155	1															1
156	1															1
157	2															2
158	1															1
Total	569	1	1	1	1	1	1	1	1	1	1	1	1	1	1	583

