Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	NA	No value	O1	O1&#65306;K-	O10	O10: KUT	O10:K19	O10:K20	O10:K22	O10:K24	O10:K52	O10:K6	O10:K66	O10:K68	O10:K71	O10:K9	O10:KUT	O10:Kuk	O10:Kunk	O10K66	O10KUT	O11	O11:K28	O11:K34	O11:K36	O11:K40	O11:K44	O11:K5	O11:K50	O11:K68	O11:KUT	O11:Kuk	O11:Kunk	O11K22	O11ï¼K40	O12	O12:K12	O1:K1	O1:K12	O1:K17	O1:K2	O1:K20	O1:K22	O1:K25	O1:K26	O1:K28	O1:K29	O1:K30	O1:K32	O1:K33	O1:K36	O1:K38	O1:K41	O1:K52	O1:K54	O1:K55	O1:K56	O1:K58	O1:K59	O1:K64	O1:K69	O1:K9	O1:KUT	O1:Kuk	O1:Kunk	O1:Kut	O1:k32	O1;K46	O1K25	O1K31	O1KUT	O1：K26	O1：KUT	O2	O2:K22	O2:K26	O2:K28	O2:K29	O2:K3	O2:K56	O2:K8	O2:KUT	O2:Kuk	O2:Kunk	O2K3	O2KUT	O2：K15	O3	O3 : K6	O3 :K6	O3&#65306;K6	O3: K31	O3:K	O3:K1	O3:K117	O3:K13	O3:K17	O3:K20	O3:K21	O3:K25	O3:K29	O3:K30	O3:K31	O3:K33	O3:K34	O3:K37	O3:K4	O3:K41	O3:K42	O3:K45	O3:K46	O3:K48	O3:K5	O3:K56	O3:K58	O3:K59	O3:K6	O3:K68	O3:K7	O3:K72	O3:KUT	O3:Kuk	O3:Kunk	O3:Kut	O3K20	O3KUT	O3ï¼K6	O3：K7	O4	O4&#65306;K18	O4: K8	O4:K10	O4:K11	O4:K12	O4:K13	O4:K15	O4:K29	O4:K33	O4:K34	O4:K37	O4:K38	O4:K4	O4:K42	O4:K53	O4:K54	O4:K55	O4:K63	O4:K68	O4:K8	O4:K9	O4:KUT	O4:Kuk	O4:Kunk	O4:Kut	O4:k42	O5	O5:K11	O5:K17	O5:K19	O5:K28	O5:K30	O5:K52	O5:K57	O5:K68	O5:KUT	O5:Kuk	O5:Kunk	O5:Kut	O5K17	O5ï¼K17	O5：K64	O6	O6:K18	O6:K41	O6:K46	O6:Kuk	O6:Kunk	O7	O7:K19	O7:K52	O7:KUT	O7K19	O8	O8:K1	O8:K21	O8:K22	O8:K41	O8:K47	O8:K70	O8:KUT	O8:Kunk	O8:k22	O9:K23	O9:K24	O9:K44	OUT:K28	OUT:K33	OUT:K48	OUT:KUT	Ouk:Kuk	Ounk:Kunk	Q5:KUT	Total
No value		179																					1							1																					1						1								4																																	1			1												1	1			28				1																												13		1	1												1		1	1																				1																239
1		1																																				1																																																																																																																																																																					2
2																																																																																																																					1																																																																																						1
3	1	85																							5																			6							1												1		8																								1											1		1									1				1		114	2	1				3				4																					14																1																																							251
5																																																							1																																																																																																																																																				1
6		4																																																																																																																			1						1																																																																																6
7																																																																																																																					1																																																																																						1
8		16																																																							3																																																																																											1																																																							20
9														1																																																																																																																																																																																													1
10		8																																																																																																																																																							1																																																		9
11																																																																																																																																																																																					1																						1
12		3																																																																																																																																																	1											1									1																																				6
13																																																																																																																					1																																																																																						1
14																																																																																																																					1																																																																																						1
15		1																																																												1																																																																																																																																													2
16																																																																																																																																																									1																																																		1
17		2																																																								1																																																																											2																																																																						5
18																																																																																																																																																		1																																																									1
19																																																																																																																											1																																																																																1
20																																																																	1																																																																																																																																										1
21																																																																																																																																						1																																																																					1
22																																																																																																																																																									1																																																		1
23		1																																																					2																																																																																																																																																				3
24																																																								1																																																																																																																																																			1
25																																																									1																																																																																																																																																		1
26																																																									1																																																																																																																																																		1
27																																																																																																																					1																																																																																						1
28		4																																																																																																			1														1	1	1							1																																																																															9
29																																1																																																																																																																																																																											1
30																																																																																																																																																													2	1																																													3
31																																																																																																																																																														1																																													1
32		2																																																																																																																																																			5					1																																																	8
33																																																																																																																																																						1																																																					1
34		15																																																																																																																									1																											5																																																					21
35																																																																																																																																																						2																																																					2
36		55																																			1																																																																																																	8																			2																																																		66
37																																																																																																																																						1																																																																					1
38																																																																																																																																																									1																																																		1
39																																																																																																																																																									1																																																		1
40																																																																	1																																																																																																																																										1
41																																																																	1																																																																																																																																										1
42																																																																																																																					1																																																																																						1
43		18																																																																																																																																																	2																																																								20
44																																																									1																																																																																																																																																		1
45																																																																																																																																																																																																1											1
46																																																1																																																																																																																																																											1
47																																																1																																																																																																																																																											1
48																																																																																																																																						1																																																																					1
49																																																																																																																					1																																																																																						1
50		8																																										1																																																																																																																																	3																														12
51																																																																	1																																																																																																																																										1
52																																																																																																																																																									1																																																		1
53																																																																																																									1																																																																																																		1
54																																											1																																																																																																																																																																1
55																																																																																																																																																									1																																																		1
56		1																																																																																		1																																																																																																																							2
57																																																																																																																																									1																																																																		1
58																																																																																																		1																1																																																																																									2
59		1																																																																																																																																				2																																																																					3
60																																																								1																																																																																																																																																			1
61		1																																																																																																																																																																				1	1																																				3
62																																																																																																																																												1													1																																																		2
63		1						4																																																																																																																																																																																																			5
64		1																																																													4																																																												1																																																																																6
65		4																																																													1		3																																																																																																																																										8
