Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	O1a	O1b	O2a	O2b	O3	O4	Total
1	14	1					15
2	37	7					44
3	1	1			2		4
4				1			1
5			1				1
6					1		1
7		8					8
8				1			1
9	2						2
10	1						1
11	1						1
12	1						1
13		1					1
14	2						2
15				1			1
16		3					3
17	1						1
18	1						1
19	1						1
20				1			1
21		1					1
22				1			1
23	1			1			2
24	1						1
25	1						1
26					2		2
27						1	1
28	1						1
29						1	1
30				1			1
Total	66	22	1	7	5	2	103

